PCR Control Taxa:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature ID,Taxon,,,,,,,,,,,,,,Taxonomic ID,Qiime2 ID,miami25-1-1-6-neg,miami25-1-7-15-neg,miami25-1-16-24-neg,miami25-1-25-33-neg,miami25-1-34-C2-neg,miami25-2-7-15-neg,miami25-1-C1,miami25-2-C1,miami25-3-C1,miami25-1-C2,miami25-2-C2,miami25-3-C2
59a3f25f68dc9c76ac8b0365fdffc756,sk__Holozoa; k__Animalia; p__Rotifera; c__Monogononta; o__Ploimida; f__Ploimida; g__Ploimida; s__uncultured_eukaryote,,,,,,,,,,,,,,sk__Holozoa; k__Animalia; p__Arthropoda; c__Maxillopoda; o__Calanoida; f__Calanoida; g__Calanoida; s__uncultured_eukaryote,0581b75ddb09aa78453ed4835754e5df,0,0,0,0,0,0,0,0,0,0,0,0
59e16b032bb98c3af4bd18c066a18e63,sk__Holozoa; k__Animalia; p__Tardigrada; c__Eutardigrada; o__Parachaela; f__Parachaela; g__Parachaela; s__Hypsibius_dujardini,,,,,,,,,,,,,,sk__Holozoa; k__Animalia; p__Arthropoda; c__Ostracoda; o__Podocopida; f__Podocopida; g__Podocopida; s__Heterocypris_vandouwei,058d41471494677eb46ea345d2038a97,0,0,0,0,0,0,0,0,0,0,0,0
5a599d37a8a49577d70e76d3776c0ef2,sk__Holozoa; k__Animalia; p__Arthropoda; c__Arachnida; o__Acari; f__Acari; g__Acari; s__Protoribates_hakonensis,,,,,,,,,,,,,,sk__Holozoa; k__Animalia; p__Arthropoda; c__Maxillopoda; o__Cyclopoida; f__Cyclopoida; g__Cyclopoida; s__Apocyclops_royi,05afbc85ac66dab017bd1bf4e5148668,0,0,0,0,0,0,0,0,0,0,0,0
5c775e83d125bc8f45bb2e0ea2b282e8,sk__Holozoa; k__Animalia; p__Rotifera; c__Monogononta; o__Ploimida; f__Ploimida; g__Ploimida; s__Proales_reinhardti,,,,,,,,,,,,,,sk__Holozoa; k__Animalia; p__Platyhelminthes; c__Rhabditophora; o__Rhabdocoela; f__Dalyellioida; g__Dalyellioida; s__Pogaina_paranygulgus,05b099ef5e6eefee994abf1ab012e0da,0,0,0,0,0,0,0,0,0,0,0,0
5eedffc3fbd4d5b2132425bf283af3ce,sk__Holozoa; k__Animalia; p__Rotifera; c__Monogononta; o__Ploimida; f__Ploimida; g__Ploimida; s__Notholca_acuminata,,,,,,,,,,,,,,sk__Holozoa; k__Animalia; p__Arthropoda; c__Maxillopoda; o__Harpacticoida; f__Harpacticoida; g__Harpacticoida; s__Paramphiascella_fulvofasciata,05b308678fd6310f9ee501c2c2efbccc,0,0,0,0,0,0,0,0,0,0,0,0
6095f50f4a3e9da3266af2d5f90ce465,sk__Holozoa; k__Animalia; p__Nematozoa; c__Enoplea; o__Triplonchida; f__Triplonchida; g__Triplonchida; s__uncultured_eukaryote,,,,,,,,,,,,,,sk__Holozoa; k__Animalia; p__Gastrotricha; c__Gastrotricha; o__Chaetonotida; f__Chaetonotida; g__Chaetonotida; s__Chaetonotus_sp.,05d4dc03f207078f2779ff4423bef9ea,0,0,0,0,0,0,0,0,0,0,0,0
63f3191e7ee034e46facdbf6c4644114,sk__Holozoa; k__Animalia; p__Gnathostomulida; c__Gnathostomulida; o__Bursovaginoidea; f__Bursovaginoidea; g__Bursovaginoidea; s__Austrognatharia_strunki,,,,,,,,,,,,,,sk__Holozoa; k__Animalia; p__Annelida; c__Polychaeta; o__Spionida; f__Spionida; g__Spionida; s__Prionospio_dubia,0601a9853daae3f8fa757aeabc5f7f2b,0,0,0,0,0,0,0,0,0,0,0,0
64c84a6afa2acc262f4b31148e579e5a,sk__Holozoa; k__Animalia; p__Arthropoda; c__Maxillopoda; o__Cyclopoida; f__Cyclopoida; g__Cyclopoida; s__Daphnia_pulex,,,,,,,,,,,,,,sk__Holozoa; k__Animalia; p__Annelida; c__Polychaeta; o__Capitellida; f__Capitellida; g__Capitellida; s__Capitella_sp.,07113c2f1f1c66756071e00e0e30d416,0,0,0,0,0,0,0,0,0,0,0,0
67c93fcc67960bbd796c439b74e1f87b,sk__Holozoa; k__Animalia; p__Arthropoda; c__Branchiopoda; o__Diplostraca; f__Diplostraca; g__Diplostraca; s__Bosmina_longirostris,,,,,,,,,,,,,,sk__Holozoa; k__Animalia; p__Gastrotricha; c__Gastrotricha; o__Chaetonotida; f__Chaetonotida; g__Chaetonotida; s__Chaetonotus_sp.,074dbe796dacb742b9e9200473c8710c,0,0,0,0,0,0,0,0,0,0,0,0
6c3277f1b5689e0650b9ec041da23b53,sk__Holozoa; k__Animalia; p__Nematozoa; c__Chromadorea; o__Chromadorida; f__Chromadorida; g__Chromadorida; s__Ptycholaimellus_sp.,,,,,,,,,,,,,,sk__Holozoa; k__Animalia; p__Cnidaria; c__Hydrozoa; o__Anthoathecata; f__Anthoathecata; g__Anthoathecata; s__Moerisia_sp.,0761ff399835968d04537a4417ba9644,0,0,0,0,0,0,0,0,0,0,0,0
